Segment_Type,Segment,N_Observations,Mean_GINI,Std_GINI,Model,RMSE,MAE,R2
Income Level,Lower-Middle Income,455,36.17428571428572,8.16656936902067,Random Forest,2.984721778014687,1.9801021646811248,0.8689900747333583
Income Level,Lower-Middle Income,455,36.17428571428572,8.16656936902067,XGBoost,3.031319867980455,1.7265641668568485,0.8648674344782616
Income Level,Lower-Middle Income,455,36.17428571428572,8.16656936902067,LightGBM,2.4022991521637387,1.6412000625020493,0.9151306910225401
Income Level,High Income,455,37.53252747252746,7.564392960749057,Random Forest,5.676371572463321,3.7741283482270944,0.32240333980122193
Income Level,High Income,455,37.53252747252746,7.564392960749057,XGBoost,5.042988218670481,3.445545345803966,0.4651825966956813
Income Level,High Income,455,37.53252747252746,7.564392960749057,LightGBM,4.386388118528834,3.2240562562330366,0.5953833622505885
Income Level,Low Income,456,35.477631578947374,7.920054470244151,Random Forest,3.785406150126519,2.3203345535650053,0.7812358692841128
Income Level,Low Income,456,35.477631578947374,7.920054470244151,XGBoost,3.5021204133035115,2.190687561035157,0.8127536774551354
Income Level,Low Income,456,35.477631578947374,7.920054470244151,LightGBM,3.122261630417584,2.199232466588975,0.8511702567874513
Income Level,Upper-Middle Income,455,37.800439560439564,8.542673734379731,Random Forest,4.329152031181098,2.9978153244926586,0.7735890066952382
Income Level,Upper-Middle Income,455,37.800439560439564,8.542673734379731,XGBoost,3.8041446118529985,2.7277619735054346,0.8251740605250941
Income Level,Upper-Middle Income,455,37.800439560439564,8.542673734379731,LightGBM,4.157872244006513,2.9190307382447442,0.7911501745405046
