Comparison,t-statistic,p-value,Significant (α=0.05),Better Model
Decision Tree vs Random Forest,4.50399587730367,8.994526601623383e-06,Yes,Random Forest
Decision Tree vs Gradient Boosting,5.420357952064516,1.0849238256716917e-07,Yes,Gradient Boosting
Decision Tree vs XGBoost,5.611352074034969,3.9824159068123744e-08,Yes,XGBoost
Decision Tree vs LightGBM,4.816289956982484,2.1492481814491556e-06,Yes,LightGBM
Random Forest vs Gradient Boosting,2.1146558953427093,0.03513855223050008,Yes,Gradient Boosting
Random Forest vs XGBoost,2.506262018426174,0.012636996104567496,Yes,XGBoost
Random Forest vs LightGBM,1.0277923754209064,0.3047299896661305,No,LightGBM
Gradient Boosting vs XGBoost,0.6130166023118673,0.5402481820301566,No,XGBoost
Gradient Boosting vs LightGBM,-1.7657998877776762,0.07826770025711917,No,Gradient Boosting
XGBoost vs LightGBM,-2.1748253493865928,0.03028652194845557,Yes,XGBoost
